id_penjualan, barang
90000268,HB YOGURT STRAWBERRY 200 ML
90000268,YOGHURT BLACKCURRANT 200ML
90000268,GOOD DAY TIRAMISU BLISS COFFEE BTL 250 ML
90000268,VITACIMIN ORANGE 2S
90000269,ALFAONE 240ML
90000270,ANEKA JAJANAN PASAR
90000270,FRESTEA FRUCY APEL 500 ML
90000270,ROKOK SAMPURNA MILD 16
90000271,SPRITE 1500 ML
90000271,FANTA STRAWBERY 1 5 LITER PET
90000271,ADES 1500 ML
90000272,MONY CINCAU CAN 300ML
90000272,ROKOK SAMPURNA MILD 12
90000272,ROTI UMI KALSUM
90000273,YAKULT
90000273,LOVE JUICE APPLE 300ML
90000273,DUNHILL MILD 16
90000274,TELUR AYAM
90000275,COCA-COLA 1500 ML
90000275,SPRITE 1500 ML
90000276,BERAS TOPI KOKI RAMOS 20 KG
90000277,DUNHILL MILD 16
90000278,ROKOK SURYA 16
90000279,PEMPEK KAPAL SELAM
90000280,ABC KECAP BLACK GOLD PCH 500M
90000280,RELAXA BARLEY MINT
90000280,ROTI TAWAR
90000281,LARUTAN CAP KAKI TIGA RASA JERUK 320M
90000281,LARUTAN PENYEGAR CAP BADAK ANGGUR 330ML
90000282,SIDOLA KAYU PUTIH 30 ML
90000283,MINUTE MAID NUTRIBOOST 300 ML STRAWBWRRY
90000283,DUNHILL FILTER 16
90000284,ANEKA JAJANAN PASAR
90000284,MR P KACANG KULIT 500GR
90000285,BENDERA COKLAT AC 200 ML BTL
90000285,ROKOK SAMPURNA U MILD
90000286,TEH BTL SOSRO JASMINE 500 ML
90000286,ROKOK PANAMAS ISI 12
90000286,SATE KERANG
90000287,KOREK API TOKAI/TAJ SENTER
90000288,PERMEN JAHE
90000288,TEH GELAS CP ORIGINAL 500 ML
90000288,MONY CINCAU CAN 300ML
90000288,HEXOS RASA BARLEY MINT
90000288,BOOM STIK MINT  18GR
90000289,ANEKA JAJANAN PASAR
90000289,AQUA 330ML
90000289,JOY TEA HONEY LEMON 500 ML
90000289,BOLU PANDAN POTONG MARTABAK BESAR
90000290,ANEKA JAJANAN PASAR
90000290,SPRITE 1500 ML
90000291,SARANG WALET DAYDAY 300ML
90000291,TANGO WAFER TIRAMISU 192G
90000291,TANGO WAFER CKIES & CREAM 180 GR
90000291,PEYEK KERIPIK BAYAM SINGKONG PEDAS
90000291,PEYEK KACANG BAYAM SAMBAL TERI RAMBAK
90000292,ROKOK SAMPURNA MILD 16
90000293,FRUIT TEA STRWBRY 500ML
90000294,POCARI 350ML
90000295,MINUTE MAID PULPY MANGGO 350 ML
90000295,CLASS MILD 16
90000296,FRESTEA FRUTCY MARKISA 500 ML
90000296,COCA-COLA 1500 ML
90000297,ROKOK PANAMAS ISI 12
90000298,ANEKA MARTABAK RISOL
90000298,FANTA STRAWBERRY BTL 425 ML
90000299,ANEKA JAJANAN PASAR
90000300,GULAKU PREMIUM PUTIH 1 KG
90000300,KOPI CAP 2 BEBEK PAGARALAM 1/2
90000301,ROKOK MARLBORO LIGHT
90000302,ANEKA JAJANAN PASAR
90000302,FRESTEA MELATI 500ML
90000302,ROKOK SAMPURNA MILD 16
90000303,AQUA 600ML
